unit_id,is_naval,land_unit_id,naval_unit_id,recruitment_cost,upkeep_cost,weight
,,,,,,
3c_Afr_Ballista,0,3c_Afr_Ballista,3c_pel_transport,560,110,medium
3c_Afr_Ballista_Bastion,0,3c_Afr_Ballista_Bastion,3c_pel_transport,560,110,medium
3c_Afr_Cheiroballistra,0,3c_Afr_Cheiroballistra,3c_pel_transport,520,100,light
3c_Afr_Giant_Ballista,0,3c_Afr_Giant_Ballista,3c_pel_transport,730,150,medium
3c_Afr_Large_Onager,0,3c_Afr_Large_Onager,3c_pel_transport,790,160,medium
3c_Afr_Onager,0,3c_Afr_Onager,3c_pel_transport,580,120,medium
3c_Afr_Onager_Bastion,0,3c_Afr_Onager_Bastion,3c_pel_transport,580,120,medium
3c_Afr_Scorpion,0,3c_Afr_Scorpion,3c_pel_transport,490,100,medium
3c_Afr_Scorpion_Bastion,0,3c_Afr_Scorpion_Bastion,3c_pel_transport,490,100,medium
3c_Ala_Alani_Amazonian_Archers,0,3c_Ala_Alani_Amazonian_Archers,3c_barbarian_transport,440,90,light
3c_Ala_Alani_Axe_Cavalry,0,3c_Ala_Alani_Axe_Cavalry,3c_barbarian_transport,620,125,medium
3c_Ala_Alani_Axemen,0,3c_Ala_Alani_Axemen,3c_barbarian_transport,610,120,medium
3c_Ala_Alani_Horse_Skirmishers,0,3c_Ala_Alani_Horse_Skirmishers,3c_barbarian_transport,520,105,light
3c_Ala_Alani_Horsemen,0,3c_Ala_Alani_Horsemen,3c_barbarian_transport,650,130,light
3c_Ala_Alani_Nobles,0,3c_Ala_Alani_Nobles,3c_barbarian_transport,750,150,heavy
3c_Ala_Alani_Noblewomen_Archers,0,3c_Ala_Alani_Noblewomen_Archers,3c_barbarian_transport,650,130,medium
3c_Ala_Alani_Riders,0,3c_Ala_Alani_Riders,3c_barbarian_transport,340,70,light
3c_Ala_Alani_Royal_Horses,0,3c_Ala_Alani_Royal_Horses,3c_barbarian_transport,1200,240,very_heavy
3c_Ala_Alani_Royal_Horses_commander,0,3c_Ala_Alani_Royal_Horses,3c_barbarian_transport,1200,240,very_heavy
3c_Ala_Alani_Swordsmen,0,3c_Ala_Alani_Swordsmen,3c_barbarian_transport,550,110,medium
3c_Ala_Armoured_Axe_Warriors,0,3c_Ala_Armoured_Axe_Warriors,3c_barbarian_transport,750,150,heavy
3c_Ala_Armoured_Steppe_Lancers,0,3c_Ala_Armoured_Steppe_Lancers,3c_barbarian_transport,550,110,heavy
3c_Ala_Armoured_Steppe_Warriors,0,3c_Ala_Armoured_Steppe_Warriors,3c_barbarian_transport,700,140,heavy
3c_Ala_Assault_Raider,1,3c_Ala_Steppe_Warband,3c_barbarian_raider_melee,400,80,light
3c_Ala_Heavy_Assault_Raider,1,3c_Ala_Armoured_Steppe_Warriors,3c_barbarian_heavy_raider,920,185,heavy
3c_Ala_Heavy_Assault_Raider_commander,1,3c_Ala_Armoured_Steppe_Warriors,3c_barbarian_heavy_raider,920,185,heavy
3c_Ala_Medium_Assault_Raider,1,3c_Ala_Alani_Swordsmen,3c_barbarian_medium_raider_melee,560,110,medium
3c_Ala_Medium_Missile_Raider,1,3c_Ste_Steppe_Slingers,3c_barbarian_medium_raider_ranged,500,100,medium
3c_Ala_Medium_Missile_Raider_commander,1,3c_Ste_Steppe_Slingers,3c_barbarian_medium_raider_ranged,500,100,medium
3c_Ala_Missile_Raider,1,3c_Ste_Steppe_Slingers,3c_barbarian_raider_ranged,370,75,light
