land_unit_id,onscreen_name,accuracy,ammo,armour_id,bonus_hit_points,category,charge_bonus,melee_attack,melee_defence,morale,melee_weapon_id,range_weapon_id,reload,shield_id
,,,,,,,,,,,,,,
3c_Afr_Ballista,African Ballista,5,15,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Afr_Ballista_Bastion,African Bastion Ballista,5,25,cloth,0,artillery,6,9,14,40,rome_shortsword,,20,none
3c_Afr_Cheiroballistra,African Scorpion,5,40,cloth,5,artillery,36,9,14,40,rome_shortsword,,4,none
3c_Afr_Giant_Ballista,African Giant Ballista,5,15,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Afr_Large_Onager,African Heavy Onager,5,15,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Afr_Onager,African Onager,5,15,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Afr_Onager_Bastion,African Bastion Onager,5,25,cloth,0,artillery,6,9,14,40,rome_shortsword,,20,none
3c_Afr_Scorpion,African Scorpion (Fixed),5,30,cloth,5,artillery,6,9,14,40,rome_shortsword,,4,none
3c_Afr_Scorpion_Bastion,African Bastion Scorpion,5,40,cloth,0,artillery,6,9,14,40,rome_shortsword,,20,none
3c_Ala_Alani_Amazonian_Archers,Alani 'Amazonian' Archers,20,15,cloth,5,cavalry,4,7,2,40,rome_shortsword,rome_composite_bow_elite,10,none
3c_Ala_Alani_Axe_Cavalry,Alani Axe Cavalry,5,0,padded_improved,15,cavalry,35,52,16,38,rome_eastern_axe,,0,none
3c_Ala_Alani_Axemen,Alani Axemen,5,2,padded_improved,10,inf_melee,22,36,24,40,rome_eastern_axe,rome_javelin_precursor,0,round
3c_Ala_Alani_Horse_Skirmishers,Alani Horse Skirmishers,5,7,cloth,10,cavalry,4,9,14,45,rome_shortsword,rome_javelin_improved,18,pelta_cavalry
3c_Ala_Alani_Horsemen,Alani Horsemen,5,0,padded,15,cavalry,29,44,20,38,rome_spear_cav,,0,cavalry
3c_Ala_Alani_Nobles,Alani Nobles,5,0,scale,15,cavalry,34,44,15,60,rome_spear_cav_elite,,0,cavalry
3c_Ala_Alani_Noblewomen_Archers,Alani Noblewoman Archers,30,15,spolas,10,cavalry,15,30,3,60,rome_steppe_sword,rome_composite_bow_elite,23,none
3c_Ala_Alani_Riders,Alani Riders,5,0,cloth,10,cavalry,33,39,11,45,rome_celtic_spear_cav,,0,caetra_fast_cav
3c_Ala_Alani_Royal_Horses,Alani Royal Horses,5,0,scale_elite,20,cavalry,43,49,23,70,rome_spear_cav_elite,,0,hoplite_cav
3c_Ala_Alani_Royal_Horses_comm,Alani Royal Horses Bodyguard,5,0,scale_elite,20,cavalry,43,49,23,70,rome_spear_cav_elite,,0,hoplite_cav
3c_Ala_Alani_Swordsmen,Alani Swordsmen,5,2,padded_improved,10,inf_melee,28,34,26,35,rome_celtic_hellenic_sword,rome_javelin_precursor,0,oval
3c_Ala_Armoured_Axe_Warriors,Armoured Axe Warriors,5,2,scale,15,inf_melee,25,43,26,45,rome_eastern_axe,rome_javelin_precursor,0,round
3c_Ala_Armoured_Steppe_Lancers,Armoured Steppe Lancers,5,0,spolas,15,cavalry,57,40,16,50,rome_lance,,0,none
3c_Ala_Armoured_Steppe_Warriors,Armoured Steppe Warriors,5,2,scale,15,inf_melee,32,38,30,45,rome_celtic_hellenic_sword_elite,rome_javelin_precursor,0,round
3c_Ala_Armoured_Steppe_Warriors_comm,Armoured Steppe Warriors Bodyguard,5,2,scale,15,inf_melee,32,38,30,45,rome_celtic_hellenic_sword_elite,rome_javelin_precursor,0,round
3c_Ala_Noble_Steppe_Cataphracts,Noble Steppe Cataphracts,5,0,cataphract,30,cavalry,80,46,21,70,rome_lance_elite,,0,none
3c_Ala_Noble_Steppe_Cataphracts_comm,Noble Steppe Cataphracts Bodyguard,5,0,cataphract,30,cavalry,80,46,21,70,rome_lance_elite,,0,none
3c_Ala_Noble_Steppe_Lancers,Noble Steppe Lancers,5,0,scale,15,cavalry,76,46,21,60,rome_lance,,0,none
3c_Ala_Steppe_Cataphract_Archers,Steppe Cataphract Archers,5,15,cataphract,15,cavalry,19,55,20,70,rome_steppe_sword,rome_composite_bow_horse,33,none
3c_Ala_Steppe_Cataphract_Archers_comm,Steppe Cataphract Archers Bodyguard,5,15,cataphract,15,cavalry,19,55,20,70,rome_steppe_sword,rome_composite_bow_horse,33,none
