military_group_id,unit_id
,
3c_arabian,3c_Afr_Ballista
3c_sabaean,3c_Afr_Ballista
3c_arabian,3c_Afr_Ballista_Bastion
3c_sabaean,3c_Afr_Ballista_Bastion
3c_arabian,3c_Afr_Cheiroballistra
3c_sabaean,3c_Afr_Cheiroballistra
3c_arabian,3c_Afr_Giant_Ballista
3c_sabaean,3c_Afr_Giant_Ballista
3c_arabian,3c_Afr_Large_Onager
3c_sabaean,3c_Afr_Large_Onager
3c_arabian,3c_Afr_Onager
3c_sabaean,3c_Afr_Onager
3c_arabian,3c_Afr_Onager_Bastion
3c_sabaean,3c_Afr_Onager_Bastion
3c_arabian,3c_Afr_Scorpion
3c_sabaean,3c_Afr_Scorpion
3c_arabian,3c_Afr_Scorpion_Bastion
3c_sabaean,3c_Afr_Scorpion_Bastion
3c_alani,3c_Ala_Alani_Amazonian_Archers
3c_alani,3c_Ala_Alani_Axe_Cavalry
3c_alani,3c_Ala_Alani_Axemen
3c_alani,3c_Ala_Alani_Horse_Skirmishers
3c_alani,3c_Ala_Alani_Horsemen
3c_alani,3c_Ala_Alani_Nobles
3c_alani,3c_Ala_Alani_Noblewomen_Archers
3c_alani,3c_Ala_Alani_Riders
3c_alani,3c_Ala_Alani_Royal_Horses
3c_alani,3c_Ala_Alani_Royal_Horses_commander
3c_alani,3c_Ala_Alani_Swordsmen
3c_alani,3c_Ala_Armoured_Axe_Warriors
3c_alani,3c_Ala_Armoured_Steppe_Lancers
3c_alani,3c_Ala_Armoured_Steppe_Warriors
3c_alani,3c_Ala_Assault_Raider
3c_alani,3c_Ala_Heavy_Assault_Raider
3c_alani,3c_Ala_Heavy_Assault_Raider_commander
3c_alani,3c_Ala_Medium_Assault_Raider
3c_alani,3c_Ala_Medium_Missile_Raider
3c_alani,3c_Ala_Medium_Missile_Raider_commander
3c_alani,3c_Ala_Missile_Raider
3c_alani,3c_Ala_Noble_Steppe_Cataphracts
3c_alani,3c_Ala_Noble_Steppe_Cataphracts_commander
3c_alani,3c_Ala_Noble_Steppe_Lancers
3c_alani,3c_Ala_Steppe_Cataphract_Archers
3c_alani,3c_Ala_Steppe_Cataphract_Archers_commander
3c_alani,3c_Ala_Steppe_Cavalry
3c_alani,3c_Ala_Steppe_Horse_Archers
3c_alani,3c_Ala_Steppe_Horse_Skirmishers
3c_alani,3c_Ala_Steppe_Lancers
3c_alani,3c_Ala_Steppe_Warband
3c_alani,3c_Ala_Taifali_Cavalry
3c_gothi,3c_Ala_Taifali_Cavalry
3c_marcomanni,3c_Ala_Taifali_Cavalry
3c_arabian,3c_Ara_Arabian_Camel_Archers
3c_arabian,3c_Ara_Arabian_Camel_Archers_commander
3c_arabian,3c_Ara_Arabian_Camel_Spearmen
3c_arabian,3c_Ara_Arabian_Javelinmen
3c_arabian,3c_Ara_Arabian_Nobles
3c_arabian,3c_Ara_Arabian_Nobles_commander
3c_arabian,3c_Ara_Arabian_Slingers
3c_arabian,3c_Ara_Arabian_Spearmen
3c_arabian,3c_Ara_Arabian_Swordsmen
3c_arabian,3c_Ara_Assault_Dieres
3c_arabian,3c_Ara_Assault_Hemiolia
3c_arabian,3c_Ara_Assault_Trieres
3c_arabian,3c_Ara_Assault_Trieres_commander
3c_arabian,3c_Ara_Missile_Trieres
3c_armenia,3c_Arm_Armenian_Archers
3c_armenia,3c_Arm_Armenian_Pikemen
3c_armenia,3c_Arm_Armenian_Slingers
3c_armenia,3c_Arm_Armenian_Spearmen
3c_armenia,3c_Arm_Armoured_Armenian_Archers
3c_armenia,3c_Arm_Armoured_Armenian_Pikemen
3c_armenia,3c_Arm_Armoured_Axe_Warriors
3c_armenia,3c_Arm_Armoured_Horse_Archers
3c_armenia,3c_Arm_Artillery_Penteres
3c_armenia,3c_Arm_Assault_Dieres
3c_armenia,3c_Arm_Assault_Tetreres
3c_armenia,3c_Arm_Assault_Tetreres_commander
3c_armenia,3c_Arm_Azat_Guard
3c_armenia,3c_Arm_Azat_Guard_commander
3c_armenia,3c_Arm_Azat_Knights
3c_armenia,3c_Arm_Azat_Knights_commander
3c_armenia,3c_Arm_Fire_Pot_Dieres
3c_armenia,3c_Arm_Light_Artillery_Penteres
3c_armenia,3c_Arm_Missile_Penteres
3c_armenia,3c_Arm_Missile_Trieres
3c_armenia,3c_Arm_Noble_Armenian_Archers
3c_armenia,3c_Arm_Noble_Armenian_Archers_commander
3c_armenia,3c_Arm_Noble_Armenian_Cavalry
3c_armenia,3c_Arm_Noble_Cataphracts
3c_armenia,3c_Arm_Noble_Cataphracts_commander
3c_armenia,3c_Arm_Noble_Horse_Archers
3c_armenia,3c_Arm_Noble_Horse_Archers_commander
3c_armenia,3c_Arm_Persian_Spearmen
3c_armenia,3c_Arm_Pursuit_Trihemiolia
3c_armenia,3c_Arm_Raiding_Hemiolia
3c_armenia,3c_Arm_Scorpion_Penteres
3c_armenia,3c_Arm_Scorpion_Trieres
3c_armenia,3c_Arm_Tower_Penteres
3c_armenia,3c_Arm_Tower_Penteres_commander
3c_gallic_empire,3c_Aux_African_Elephants
3c_gallicclient,3c_Aux_African_Elephants
3c_palmyrene_empire,3c_Aux_African_Elephants
3c_roman_empire,3c_Aux_African_Elephants
3c_gallic_empire,3c_Aux_Alae_Cavalry
3c_gallicclient,3c_Aux_Alae_Cavalry
3c_palmyrene_empire,3c_Aux_Alae_Cavalry
3c_roman_empire,3c_Aux_Alae_Cavalry
3c_gallic_empire,3c_Aux_Alae_Clibanarii
3c_gallicclient,3c_Aux_Alae_Clibanarii
3c_palmyrene_empire,3c_Aux_Alae_Clibanarii
3c_roman_empire,3c_Aux_Alae_Clibanarii
3c_gallic_empire,3c_Aux_Alae_Skirmishers
3c_gallicclient,3c_Aux_Alae_Skirmishers
3c_palmyrene_empire,3c_Aux_Alae_Skirmishers
3c_roman_empire,3c_Aux_Alae_Skirmishers
3c_gallic_empire,3c_Aux_Ara_Assault_Bireme
3c_gallicclient,3c_Aux_Ara_Assault_Bireme
3c_palmyrene_empire,3c_Aux_Ara_Assault_Bireme
3c_roman_empire,3c_Aux_Ara_Assault_Bireme
3c_gallic_empire,3c_Aux_Arabian_Camel_Archers
3c_gallicclient,3c_Aux_Arabian_Camel_Archers
3c_palmyrene_empire,3c_Aux_Arabian_Camel_Archers
3c_roman_empire,3c_Aux_Arabian_Camel_Archers
3c_gallic_empire,3c_Aux_Arabian_Camel_Spearmen
3c_gallicclient,3c_Aux_Arabian_Camel_Spearmen
3c_palmyrene_empire,3c_Aux_Arabian_Camel_Spearmen
3c_roman_empire,3c_Aux_Arabian_Camel_Spearmen
3c_gallic_empire,3c_Aux_Arabian_Spearmen
3c_gallicclient,3c_Aux_Arabian_Spearmen
3c_palmyrene_empire,3c_Aux_Arabian_Spearmen
3c_roman_empire,3c_Aux_Arabian_Spearmen
3c_gallic_empire,3c_Aux_Archers
3c_gallicclient,3c_Aux_Archers
3c_palmyrene_empire,3c_Aux_Archers
3c_roman_empire,3c_Aux_Archers
3c_gallic_empire,3c_Aux_Armenian_Archers
3c_gallicclient,3c_Aux_Armenian_Archers
3c_palmyrene_empire,3c_Aux_Armenian_Archers
3c_roman_empire,3c_Aux_Armenian_Archers
3c_gallic_empire,3c_Aux_Armoured_Chariots
3c_gallicclient,3c_Aux_Armoured_Chariots
3c_palmyrene_empire,3c_Aux_Armoured_Chariots
3c_roman_empire,3c_Aux_Armoured_Chariots
3c_gallic_empire,3c_Aux_Armoured_Gallic_Spearmen
3c_gallicclient,3c_Aux_Armoured_Gallic_Spearmen
3c_palmyrene_empire,3c_Aux_Armoured_Gallic_Spearmen
3c_roman_empire,3c_Aux_Armoured_Gallic_Spearmen
3c_gallic_empire,3c_Aux_Armoured_Pikemen
3c_gallicclient,3c_Aux_Armoured_Pikemen
3c_palmyrene_empire,3c_Aux_Armoured_Pikemen
3c_roman_empire,3c_Aux_Armoured_Pikemen
3c_gallic_empire,3c_Aux_Asia_Missile_Quinquereme
3c_gallicclient,3c_Aux_Asia_Missile_Quinquereme
3c_palmyrene_empire,3c_Aux_Asia_Missile_Quinquereme
3c_roman_empire,3c_Aux_Asia_Missile_Quinquereme
3c_gallic_empire,3c_Aux_Assault_Bireme
3c_gallicclient,3c_Aux_Assault_Bireme
3c_palmyrene_empire,3c_Aux_Assault_Bireme
